2013-12-31 00:00,1157	
2013-12-31 01:00,1215	
2013-12-31 02:00,1354	
2013-12-31 03:00,1523	
2013-12-31 04:00,1976	
2013-12-31 05:00,2635	
2013-12-31 06:00,3118	
2013-12-31 07:00,3370	
2013-12-31 08:00,3403	
2013-12-31 09:00,3469	
2013-12-31 10:00,3445	
2013-12-31 11:00,3479	
2013-12-31 12:00,3556	
2013-12-31 13:00,3626	
2013-12-31 14:00,3961	
2013-12-31 15:00,4141	
2013-12-31 16:00,4366	
2013-12-31 17:00,4773	
2013-12-31 18:00,5103	
2013-12-31 19:00,4854	
2013-12-31 20:00,3818	
2013-12-31 21:00,2702	
2013-12-31 22:00,1825	
2013-12-31 23:00,1400	
2014-01-01 00:00,1232	
2014-01-01 01:00,1346	
2014-01-01 02:00,1383	
2014-01-01 03:00,1642	
2014-01-01 04:00,2400	
2014-01-01 05:00,3045	
2014-01-01 06:00,3610	
2014-01-01 07:00,3637	
2014-01-01 08:00,3597	
2014-01-01 09:00,3464	
2014-01-01 10:00,3598	
2014-01-01 11:00,3438	
2014-01-01 12:00,3195	
2014-01-01 13:00,3194	
2014-01-01 14:00,2918	
2014-01-01 15:00,2604	
2014-01-01 16:00,2474	
2014-01-01 17:00,2710	
2014-01-01 18:00,3584	
2014-01-01 19:00,3368	
2014-01-01 20:00,2662	
2014-01-01 21:00,2475	
2014-01-01 22:00,1812	
2014-01-01 23:00,1360	
2014-01-02 00:00,30	
